transaction_id,customer_id,amount,transaction_time,channel,merchant_category,merchant_id,location,is_fraud
TXN_00000000,CUST_00867,78.34948260774094,2025-03-23 12:19:09.597062,mobile,restaurant,MERCH_7876,Location_048,False
TXN_00000001,CUST_01975,102.37452175578,2025-01-01 21:12:09.597062,in_store,entertainment,MERCH_9229,Location_011,False
TXN_00000002,CUST_01817,324.87530137593797,2025-04-24 01:17:09.597062,in_store,retail,MERCH_1199,Location_085,False
TXN_00000003,CUST_00669,27.35144667950278,2025-04-12 16:07:09.597062,online,gas,MERCH_8979,Location_088,False
TXN_00000004,CUST_00552,134.20900516321748,2025-02-13 15:23:09.597062,mobile,gas,MERCH_5521,Location_085,False
TXN_00000005,CUST_00658,121.92803160371227,2024-11-16 02:51:09.597062,online,restaurant,MERCH_3808,Location_036,False
TXN_00000006,CUST_01879,66.72969484091395,2024-08-01 12:08:09.597062,mobile,restaurant,MERCH_6862,Location_025,False
TXN_00000007,CUST_01704,181.2414455908503,2024-08-21 07:53:09.597062,online,gas,MERCH_2254,Location_092,False
TXN_00000008,CUST_01854,58.05488885081706,2025-02-19 03:50:09.597062,mobile,entertainment,MERCH_1657,Location_022,False
TXN_00000009,CUST_00234,28.732952993975157,2025-06-29 00:40:09.597062,mobile,grocery,MERCH_8126,Location_064,False
TXN_00000010,CUST_01412,207.9377825295064,2024-07-28 13:24:09.597062,mobile,retail,MERCH_9898,Location_063,False
TXN_00000011,CUST_01195,281.97078092889166,2024-09-13 22:59:09.597062,online,gas,MERCH_4110,Location_034,False
TXN_00000012,CUST_00422,212.2473115059382,2025-02-22 21:35:09.597062,in_store,retail,MERCH_7050,Location_086,False
TXN_00000013,CUST_00943,223.47349638997062,2025-07-13 06:27:09.597062,in_store,retail,MERCH_9888,Location_073,False
TXN_00000014,CUST_01587,136.27300883425252,2024-09-25 02:30:09.597062,mobile,restaurant,MERCH_1101,Location_078,False
TXN_00000015,CUST_01265,8.392074793693874,2024-09-01 03:32:09.597062,online,restaurant,MERCH_6284,Location_066,False
TXN_00000016,CUST_00343,23.93918550234336,2024-09-21 08:25:09.597062,mobile,gas,MERCH_7745,Location_011,False
TXN_00000017,CUST_00511,56.45700640993617,2025-03-16 21:53:09.597062,mobile,entertainment,MERCH_7069,Location_059,False
TXN_00000018,CUST_00805,721.9244384732992,2024-08-23 11:04:09.597062,online,restaurant,MERCH_2920,Location_032,False
TXN_00000019,CUST_01081,179.31953424851872,2024-11-24 00:38:09.597062,mobile,entertainment,MERCH_6838,Location_045,False
TXN_00000020,CUST_00825,238.23528007985277,2025-02-24 16:41:09.597062,in_store,entertainment,MERCH_8931,Location_075,False
TXN_00000021,CUST_00901,154.2250289593264,2025-01-15 20:31:09.597062,in_store,retail,MERCH_4834,Location_021,False
TXN_00000022,CUST_00022,12.28014422447309,2025-05-12 05:06:09.597062,in_store,gas,MERCH_5012,Location_091,False
TXN_00000023,CUST_01474,108.07248684772378,2025-01-31 19:29:09.597062,online,retail,MERCH_6690,Location_036,False
TXN_00000024,CUST_01380,190.67477182843712,2024-07-25 06:43:09.597062,mobile,gas,MERCH_5855,Location_030,False
TXN_00000025,CUST_00247,92.72280289514683,2025-03-13 13:53:09.597062,online,gas,MERCH_7467,Location_071,False
TXN_00000026,CUST_01032,236.61019032316716,2024-12-05 11:37:09.597062,in_store,grocery,MERCH_4024,Location_032,False
TXN_00000027,CUST_01054,89.92906354330759,2024-12-30 22:07:09.597062,mobile,entertainment,MERCH_9577,Location_046,False
TXN_00000028,CUST_01767,19.107897261124233,2024-11-13 04:00:09.597062,mobile,restaurant,MERCH_8415,Location_030,False
TXN_00000029,CUST_01485,71.03777097004873,2025-06-02 11:58:09.597062,mobile,entertainment,MERCH_5168,Location_036,False
TXN_00000030,CUST_00542,82.3577111092113,2025-03-08 06:35:09.597062,in_store,entertainment,MERCH_9207,Location_029,False
TXN_00000031,CUST_01465,103.41867016956014,2024-07-14 21:38:09.597062,mobile,restaurant,MERCH_2604,Location_066,False
TXN_00000032,CUST_01685,291.9691703339938,2025-01-10 01:45:09.597062,mobile,retail,MERCH_8567,Location_016,False
TXN_00000033,CUST_01969,195.24381933920228,2024-08-02 01:21:09.597062,online,entertainment,MERCH_5485,Location_063,False
TXN_00000034,CUST_01503,500.14715833761176,2025-03-28 20:35:09.597062,in_store,grocery,MERCH_2976,Location_041,False
TXN_00000035,CUST_00833,217.9207741088635,2025-05-16 01:32:09.597062,online,entertainment,MERCH_2603,Location_010,False
TXN_00000036,CUST_01035,374.05665975039744,2025-07-01 22:50:09.597062,mobile,gas,MERCH_6688,Location_077,False
TXN_00000037,CUST_00780,76.36846363418329,2024-10-17 16:31:09.597062,online,retail,MERCH_7874,Location_023,False
TXN_00000038,CUST_01958,29.1182064507823,2025-04-16 10:14:09.597062,mobile,retail,MERCH_2051,Location_030,False
TXN_00000039,CUST_00179,62.04941666273689,2025-07-09 06:17:09.597062,online,entertainment,MERCH_3280,Location_036,False
TXN_00000040,CUST_00106,33.085598965602124,2025-03-28 22:56:09.597062,mobile,retail,MERCH_7348,Location_006,False
TXN_00000041,CUST_01640,29.24823690969311,2025-06-09 10:11:09.597062,in_store,entertainment,MERCH_3646,Location_035,False
TXN_00000042,CUST_01878,27.475404590579306,2025-04-07 14:35:09.597062,in_store,retail,MERCH_1612,Location_031,False
TXN_00000043,CUST_01807,665.6214724501949,2024-10-28 18:54:09.597062,mobile,gas,MERCH_9928,Location_090,False
TXN_00000044,CUST_01781,181.2406226078746,2025-07-04 18:04:09.597062,online,entertainment,MERCH_3380,Location_010,False
TXN_00000045,CUST_01176,24.555245598000283,2024-11-26 16:12:09.597062,in_store,gas,MERCH_1944,Location_019,False
TXN_00000046,CUST_01963,55.76082524872813,2024-10-11 06:33:09.597062,in_store,entertainment,MERCH_8253,Location_043,False
TXN_00000047,CUST_01592,392.5477707700818,2025-04-24 05:31:09.597062,online,retail,MERCH_9579,Location_085,False
TXN_00000048,CUST_00846,13.987540870469298,2025-06-13 16:10:09.597062,mobile,grocery,MERCH_4090,Location_041,False
TXN_00000049,CUST_00749,103.09482139945109,2025-07-06 02:43:09.597062,online,retail,MERCH_5689,Location_005,False
TXN_00000050,CUST_00882,337.84210079205246,2025-05-14 09:13:09.597062,mobile,restaurant,MERCH_7312,Location_082,False
TXN_00000051,CUST_00602,279.751575505841,2025-02-26 10:19:09.597062,in_store,retail,MERCH_7922,Location_030,False
TXN_00000052,CUST_01924,201.73146920119615,2025-03-13 15:25:09.597062,in_store,retail,MERCH_4954,Location_073,False
TXN_00000053,CUST_00765,454.19986083951693,2024-10-04 22:42:09.597062,mobile,restaurant,MERCH_3321,Location_013,False
TXN_00000054,CUST_00222,49.774076932042504,2025-01-21 18:15:09.597062,in_store,gas,MERCH_1590,Location_087,False
TXN_00000055,CUST_00081,137.9112337514473,2025-06-21 15:40:09.597062,online,entertainment,MERCH_9522,Location_043,False
TXN_00000056,CUST_00782,128.7043002409101,2025-01-30 06:54:09.597062,mobile,entertainment,MERCH_2121,Location_027,False
TXN_00000057,CUST_00763,301.5492003539031,2025-07-08 07:42:09.597062,in_store,restaurant,MERCH_2723,Location_082,False
TXN_00000058,CUST_01840,47.27771095824154,2025-06-14 09:02:09.597062,in_store,restaurant,MERCH_7037,Location_088,False
TXN_00000059,CUST_01322,56.23440774164093,2024-09-14 19:08:09.597062,in_store,grocery,MERCH_8529,Location_027,False
TXN_00000060,CUST_00573,288.7992417024656,2025-03-08 04:13:09.597062,in_store,retail,MERCH_3585,Location_015,False
TXN_00000061,CUST_00918,780.7595087185204,2024-11-03 12:54:09.597062,mobile,grocery,MERCH_4227,Location_074,False
TXN_00000062,CUST_00292,196.5974397980111,2025-01-22 17:45:09.597062,online,gas,MERCH_8756,Location_069,False
TXN_00000063,CUST_00238,225.68737568484758,2024-08-03 16:16:09.597062,in_store,restaurant,MERCH_2160,Location_098,False
TXN_00000064,CUST_00221,74.7092753963373,2025-05-01 13:55:09.597062,in_store,restaurant,MERCH_2760,Location_031,False
TXN_00000065,CUST_01992,276.50655045542976,2025-04-02 15:54:09.597062,mobile,grocery,MERCH_7400,Location_040,False
TXN_00000066,CUST_01502,376.0603667593354,2024-10-23 16:44:09.597062,mobile,gas,MERCH_2681,Location_098,False
TXN_00000067,CUST_01396,323.4829684303927,2024-09-07 19:03:09.597062,mobile,gas,MERCH_8306,Location_059,False
TXN_00000068,CUST_01083,60.873195756511215,2024-12-04 04:10:09.597062,mobile,retail,MERCH_2596,Location_061,False
TXN_00000069,CUST_01026,229.25541183357197,2025-01-10 18:57:09.597062,mobile,restaurant,MERCH_6798,Location_062,False
TXN_00000070,CUST_00222,107.08028501767727,2024-08-05 17:25:09.597062,online,grocery,MERCH_9585,Location_009,False
TXN_00000071,CUST_00668,185.13595664294402,2025-06-25 00:18:09.597062,online,gas,MERCH_3628,Location_008,False
TXN_00000072,CUST_00452,81.53466434041844,2025-04-12 07:41:09.597062,mobile,gas,MERCH_8943,Location_014,False
TXN_00000073,CUST_01318,2127.742360924517,2024-10-19 15:38:09.597062,mobile,entertainment,MERCH_1006,Location_068,False
TXN_00000074,CUST_01907,203.87741760074147,2025-05-19 15:18:09.597062,mobile,retail,MERCH_5333,Location_068,False
TXN_00000075,CUST_01217,273.7290491518695,2025-05-07 02:52:09.597062,online,gas,MERCH_3961,Location_099,False
TXN_00000076,CUST_00344,46.37928340302855,2024-12-27 14:44:09.597062,online,restaurant,MERCH_9301,Location_093,False
TXN_00000077,CUST_01967,117.52019378538725,2025-03-23 05:08:09.597062,mobile,restaurant,MERCH_5135,Location_004,False
TXN_00000078,CUST_00723,573.0382277595835,2025-04-10 14:40:09.597062,online,grocery,MERCH_9849,Location_011,False
