transaction_id,customer_id,amount,channel,merchant_category,composite_fraud_score,fraud_risk_level,recommended_action,chargeback_risk_score,velocity_risk_score,pattern_risk_score,is_actual_fraud
TXN_00002706,CUST_000000,104.44,mobile,restaurant,0.12479391734685556,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00000281,CUST_000001,63.78,in-store,gas,0.21425020918702617,LOW,MONITORING,0.0,0.0,0.0,False
TXN_00001650,CUST_000002,244.09,mobile,subscription,0.16178426878827545,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002163,CUST_000002,174.05,online,utilities,0.16432589247625512,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002002,CUST_000002,112.67,online,gas,0.16825027333674217,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001301,CUST_000002,3.81,online,restaurant,0.17036344707895684,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002280,CUST_000004,94.16,in-store,subscription,0.039905180492117165,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002263,CUST_000004,46.35,in-store,retail,0.04978119787120421,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001626,CUST_000004,81.87,online,utilities,0.04933943859053458,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00000419,CUST_000005,86.89,in-store,restaurant,0.10638495696779197,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001589,CUST_000005,39.67,mobile,retail,0.09881400508504998,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00000117,CUST_000005,87.1,mobile,subscription,0.09860084853437849,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002726,CUST_000005,29.09,online,gas,0.11342899500531793,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001354,CUST_000005,72.94,in-store,restaurant,0.11028304245621437,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001259,CUST_000006,38.41,online,restaurant,0.10492127578423943,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002422,CUST_000006,54.06,in-store,subscription,0.10093771615469825,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001445,CUST_000006,39.82,mobile,subscription,0.10004191819152142,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00001959,CUST_000007,235.77,online,restaurant,0.09743972363134332,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002286,CUST_000007,246.6,in-store,pharmacy,0.08511777311314447,MINIMAL,APPROVE,0.0,0.0,0.0,False
TXN_00002770,CUST_000007,72.49,mobile,restaurant,0.08533921286057122,MINIMAL,APPROVE,0.0,0.0,0.0,False
