channel,merchant_category,transaction_count,total_amount,avg_amount,fraud_count,avg_risk_score,fraud_rate,risk_category,analysis_type
in_store,restaurant,1330,335617.56397508946,252.34403306397704,11,0.13116541353383473,0.008270676691729323,Low Risk,Channel_Merchant
mobile,retail,1329,319997.1700920194,240.78041391423585,20,0.13092550790067725,0.015048908954100828,Low Risk,Channel_Merchant
mobile,gas,1344,337193.2971256978,250.8878698851918,8,0.1300223214285715,0.005952380952380952,Low Risk,Channel_Merchant
online,gas,1377,337627.8753281379,245.19090437773266,20,0.17917574437182254,0.014524328249818447,Low Risk,Channel_Merchant
mobile,grocery,1303,326721.93417705526,250.7459203200731,8,0.130909439754413,0.0061396776669224865,Low Risk,Channel_Merchant
online,grocery,1366,330175.71276923316,241.70989221759382,25,0.1789897510980964,0.018301610541727673,Low Risk,Channel_Merchant
online,restaurant,1275,331733.88480965665,260.1834390663974,27,0.17996078431372525,0.021176470588235293,Low Risk,Channel_Merchant
online,entertainment,1332,337108.824260943,253.08470289860585,21,0.17989864864864838,0.015765765765765764,Low Risk,Channel_Merchant
in_store,gas,1326,329734.66701186274,248.6686779878301,10,0.13020361990950238,0.007541478129713424,Low Risk,Channel_Merchant
in_store,grocery,1373,339367.2877657967,247.172095969262,12,0.13053532410779325,0.00873998543335761,Low Risk,Channel_Merchant
mobile,restaurant,1369,344475.2771601135,251.62547637700035,9,0.12976625273922587,0.006574141709276844,Low Risk,Channel_Merchant
in_store,entertainment,1324,323812.543716636,244.57140764096377,8,0.12981495468277954,0.006042296072507553,Low Risk,Channel_Merchant
mobile,entertainment,1347,343236.73602369113,254.81569118314115,14,0.13236822568671125,0.010393466963622866,Low Risk,Channel_Merchant
in_store,retail,1279,294433.9708067769,230.20638843375832,12,0.1287333854573887,0.009382329945269743,Low Risk,Channel_Merchant
online,retail,1326,323707.7857426028,244.12351865957976,22,0.17958144796380066,0.016591251885369532,Low Risk,Channel_Merchant
Evening,Time_Bucket,5035,1247836.627684853,247.8324980506163,44,0.2,0.008738828202581926,Time Analysis,Time_Analysis
Morning,Time_Bucket,4988,1255583.7574036613,251.720881596564,46,0.2,0.009222133119486768,Time Analysis,Time_Analysis
Afternoon,Time_Bucket,4929,1203426.350924416,244.15223187754432,30,0.2,0.006086427267194157,Time Analysis,Time_Analysis
Night,Time_Bucket,5048,1248097.7947523824,247.24599737567004,107,0.2,0.02119651347068146,Time Analysis,Time_Analysis
